ID_DISCENTE,SEXO,ESTADO_CIVIL,DATA_NASCIMENTO,RACA_COR,DEFICIENCIA,NATURALIDADE,UF_NATURALIDADE,DESCR_BAIRRO,CIDADE_END,UF_CIDADE_END,FORMA_INGRESSO,COD_CURSO,CURSO,ANO_INGRESSO,PERIODO_INGRESSO
33062,M,Solteiro(a),28/04/1970,Parda,Sem Deficiência,FONTE BOA,AM,JAPIIM 1,MANAUS,AM,PSEaD - AC (Ampla Concorrência),IB73,Licenciatura em Educação Física - EAD - MANACAPURU,2017,2
20799,M,Uniao Estavel,16/06/1981,Parda,Sem Deficiência,MANAUS,AM,PLANALTO,MANAUS,AM,PSEaD - AC (Ampla Concorrência),FA67,Administração Pública - EAD - MANAUS,2017,2
14352,M,Solteiro(a),01/01/1980,Branca,,MANACAPURU,AM,FLORES,MANAUS,AM,Processo Seletivo Especialização,PL-GPM,Especialização em Gestão Pública Municipal,2018,1
38573,M,Casado(a),24/04/1984,Negra,Sem Deficiência,ALENQUER,PA,PETROPOLIS,MANAUS,AM,Processo Seletivo Especialização,PL-EMEM,Especialização em Ensino de Matemática para o Ensino Médio - EAD,2018,2
27298,F,Solteiro(a),18/06/1970,Parda,,BELEM,PA,SÃO JOSÉ I,MANAUS,AM,Processo Seletivo Especialização,PL-MED,Especialização em Mídias na Educação,2012,1
40665,F,Casado(a),22/09/1967,Branca,,MANAUS,AM,PETROPOLIS,MANAUS,AM,Processo Seletivo Especialização,PL-MED,Especialização em Mídias na Educação,2009,1
25902,M,Solteiro(a),03/04/1982,Parda,,BELEM,PA,MORRO DA LIBERDADE,MANAUS,AM,Processo Seletivo Especialização,PL-MED,Especialização em Mídias na Educação,2012,1
19818,M,Solteiro(a),04/03/1987,Branca,,MANAUS,AM,CIDADE NOVA,MANAUS,AM,PS - Processo Seletivo,PL-MED,Especialização em Mídias na Educação,2018,1
121,F,Casado(a),15/12/1978,Branca,,MANAUS,AM,CIDADE NOVA I,MANAUS,AM,Processo Seletivo Especialização,PL-MED,Especialização em Mídias na Educação,2009,1
37172,F,Casado(a),02/02/1968,Branca,,JUIZ DE FORA,MG,PONTA NEGRA,MANAUS,AM,Processo Seletivo Especialização,PL-MED,Especialização em Mídias na Educação,2012,1
14196,F,Casado(a),29/09/1979,Não Declarada,Sem Deficiência,MANAUS,AM,FLORES,MANAUS,AM,Processo Seletivo Especialização,PL-GP,Especialização em Gestão Pública,2018,2
12170,F,Solteiro(a),20/09/1969,Branca,Sem Deficiência,MANAUS,AM,ALEIXO,MANAUS,AM,PSEaD - AC (Ampla Concorrência),FA67,Administração Pública - EAD - MANAUS,2017,2
30167,F,Solteiro(a),09/02/1979,Branca,,MANAUS,AM,PLANALTO,MANAUS,AM,Processo Seletivo Especialização,PL-MED,Especialização em Mídias na Educação,2012,1
26588,M,Casado(a),06/09/1982,Parda,Sem Deficiência,MANAUS,AM,PARQUE 10 DE NOVEMBRO,MANAUS,AM,Processo Seletivo Especialização,PL-GP,Especialização em Gestão Pública,2018,2
27155,M,Solteiro(a),20/12/1973,Parda,Sem Deficiência,MANAUS,AM,SAO LAZARO,MAUES,AM,PSEaD - AC (Ampla Concorrência),FG64,Licenciatura em Ciências Agrárias - EAD - MAUÉS,2017,2
14885,M,Casado(a),20/07/1965,Parda,,MANAUS,AM,Nova Esperança II,MANAUS,AM,Processo Seletivo Especialização,PL-MED,Especialização em Mídias na Educação,2011,1
16764,F,Solteiro(a),27/03/1986,Parda,,MANAUS,AM,COMPENSA,MANAUS,AM,Processo Seletivo Especialização,PL-MED,Especialização em Mídias na Educação,2012,1
36595,M,Casado(a),06/04/1975,Parda,Sem Deficiência,MANAUS,AM,JAPIIM,MANAUS,AM,PSEaD - AC (Ampla Concorrência),IB70,Licenciatura em Educação Física - EAD - ITACOATIARA,2017,2
33116,F,Casado(a),30/12/1976,Branca,,MANAUS,AM,SANTO AGOSTINHO,MANAUS,AM,Processo Seletivo Especialização,PL-MED,Especialização em Mídias na Educação,2009,1
15207,F,Solteiro(a),05/02/1983,Parda,,MANAUS,AM,FLORES,MANAUS,AM,PS - Processo Seletivo,PL-MED,Especialização em Mídias na Educação,2018,1
38842,M,Solteiro(a),04/03/1987,Parda,,MANAUS,AM,COLÔNIA SANTO ANTÔNIO,MANAUS,AM,PS ESPECIALIZAÇÃO-AC (Ampla Concorrência),PL-GP,Especialização em Gestão Pública,2018,2
25174,F,Casado(a),25/08/1975,Parda,,MANAUS,AM,IRACI,ITACOATIARA,AM,Processo Seletivo Especialização,PL-GP,Especialização em Gestão Pública,2018,2
18003,F,Solteiro(a),12/03/1986,Parda,,PARINTINS,AM,COMPENSA,MANAUS,AM,Processo Seletivo Especialização,PL-GP,Especialização em Gestão Pública,2018,2
39074,F,Divorciado(a),07/08/1983,Parda,,MANAUS,AM,ARMANDO MENDES,MANAUS,AM,PSEaD - AC (Ampla Concorrência),FA67,Administração Pública - EAD - MANAUS,2017,2
16799,M,Solteiro(a),31/07/1985,Branca,Sem Deficiência,MANAUS,AM,NOVA ESPERANCA,MANAUS,AM,PSEaD - AC (Ampla Concorrência),FA67,Administração Pública - EAD - MANAUS,2017,2
37168,F,Casado(a),05/06/1983,Parda,Sem Deficiência,MANAUS,AM,CENTRO,MANAUS,AM,"PSEaD - PPI2 (Esc. Pub., Independe Renda)",FA67,Administração Pública - EAD - MANAUS,2017,2
27433,M,Casado(a),21/02/1980,Branca,Sem Deficiência,MANAUS,AM,CIDADE NOVA,MANAUS,AM,"PSEaD - NDC1 (Esc. Pub., Renda até 1.5)",FA67,Administração Pública - EAD - MANAUS,2017,2
21037,M,Solteiro(a),22/04/1985,Parda,,MANAUS,AM,Cachoeirinha,MANAUS,AM,Processo Seletivo Especialização,PL-MED,Especialização em Mídias na Educação,2012,1
36846,M,Solteiro(a),10/10/1981,Parda,,MANAUS,AM,Alvorada  II,MANAUS,AM,Processo Seletivo Especialização,PL-EMEM,Especialização em Ensino de Matemática para o Ensino Médio - EAD,2018,2
19951,F,Solteiro(a),23/12/1978,Parda,,MANAUS,AM,PETROPOLIS,MANAUS,AM,PS - Processo Seletivo,PL-MED,Especialização em Mídias na Educação,2018,1
19951,F,Solteiro(a),23/12/1978,Parda,,MANAUS,AM,PETROPOLIS,MANAUS,AM,Processo Seletivo Especialização,PL-MED,Especialização em Mídias na Educação,2012,1
20131,M,Casado(a),29/05/1981,Parda,,MANAUS,AM,FLORES,MANAUS,AM,Processo Seletivo Especialização,PL-EMEM,Especialização em Ensino de Matemática para o Ensino Médio - EAD,2018,2
